Date,Price,Open,High,Low,Volume,Chg% 
"Mar 08, 2018","10,242.65","10,216.25","10,270.35","10,146.40",233.38M,0.87%
"Mar 07, 2018","10,154.20","10,232.95","10,243.35","10,141.55",257.20M,-0.93%
"Mar 06, 2018","10,249.25","10,420.50","10,441.35","10,215.90",229.78M,-1.06%
"Mar 05, 2018","10,358.85","10,428.30","10,428.70","10,323.90",199.98M,-0.95%
"Mar 01, 2018","10,458.35","10,479.95","10,525.50","10,447.15",181.38M,-0.33%
"Feb 28, 2018","10,492.85","10,488.95","10,535.50","10,461.55",294.79M,-0.58%
"Feb 27, 2018","10,554.30","10,615.20","10,631.65","10,537.25",193.25M,-0.27%
"Feb 26, 2018","10,582.60","10,526.55","10,592.95","10,520.20",177.24M,0.87%
"Feb 23, 2018","10,491.05","10,408.10","10,499.10","10,396.65",217.13M,1.04%
"Feb 22, 2018","10,382.70","10,354.35","10,397.55","10,340.65",323.26M,-0.14%
"Feb 21, 2018","10,397.45","10,426.00","10,426.10","10,349.60",241.33M,0.36%
"Feb 20, 2018","10,360.40","10,391.00","10,429.35","10,347.65",193.46M,-0.17%
"Feb 19, 2018","10,378.40","10,488.90","10,489.35","10,302.75",193.09M,-0.71%
"Feb 16, 2018","10,452.30","10,596.20","10,612.90","10,434.05",190.04M,-0.88%
"Feb 15, 2018","10,545.50","10,537.90","10,618.10","10,511.05",217.09M,0.42%
"Feb 14, 2018","10,500.90","10,585.75","10,590.55","10,456.65",236.33M,-0.37%
"Feb 12, 2018","10,539.75","10,518.20","10,555.50","10,485.40",224.12M,0.81%
"Feb 09, 2018","10,454.95","10,416.50","10,480.20","10,398.20",197.50M,-1.15%
"Feb 08, 2018","10,576.85","10,518.50","10,637.80","10,479.55",239.41M,0.96%
"Feb 07, 2018","10,476.70","10,607.20","10,614.00","10,446.40",258.10M,-0.21%
"Feb 06, 2018","10,498.25","10,295.15","10,594.15","10,276.30",274.66M,-1.58%
"Feb 05, 2018","10,666.55","10,604.30","10,702.75","10,586.80",247.48M,-0.87%
"Feb 02, 2018","10,760.60","10,938.20","10,954.95","10,736.10",291.43M,-2.33%
"Feb 01, 2018","11,016.90","11,044.55","11,117.35","10,878.80",315.74M,-0.10%
"Jan 31, 2018","11,027.70","11,018.80","11,058.50","10,979.30",253.46M,-0.20%
"Jan 30, 2018","11,049.65","11,120.85","11,121.10","11,033.90",234.97M,-0.73%
"Jan 29, 2018","11,130.40","11,079.35","11,171.55","11,075.95",249.22M,0.55%
"Jan 25, 2018","11,069.65","11,095.60","11,095.60","11,009.20",340.47M,-0.15%
"Jan 24, 2018","11,086.00","11,069.35","11,110.10","11,046.15",292.20M,0.02%
"Jan 23, 2018","11,083.70","10,997.40","11,092.90","10,994.55",293.45M,1.07%
"Jan 22, 2018","10,966.20","10,883.20","10,975.10","10,881.40",238.82M,0.66%
"Jan 19, 2018","10,894.70","10,829.20","10,906.85","10,793.90",214.01M,0.72%
"Jan 18, 2018","10,817.00","10,873.40","10,887.50","10,782.40",321.61M,0.26%
"Jan 17, 2018","10,788.55","10,702.45","10,803.00","10,666.75",260.49M,0.82%
"Jan 16, 2018","10,700.45","10,761.50","10,762.35","10,687.85",217.47M,-0.38%
"Jan 15, 2018","10,741.55","10,718.50","10,782.65","10,713.80",181.26M,0.56%
"Jan 12, 2018","10,681.25","10,682.55","10,690.40","10,597.10",180.59M,0.28%
"Jan 11, 2018","10,651.20","10,637.05","10,664.60","10,612.35",158.63M,0.18%
"Jan 10, 2018","10,632.20","10,652.05","10,655.50","10,592.70",181.90M,-0.05%
"Jan 09, 2018","10,637.00","10,645.10","10,659.15","10,603.60",211.29M,0.13%
"Jan 08, 2018","10,623.60","10,591.70","10,631.20","10,588.55",174.18M,0.61%
"Jan 05, 2018","10,558.85","10,534.25","10,566.10","10,520.10",186.47M,0.51%
"Jan 04, 2018","10,504.80","10,469.40","10,513.00","10,441.45",180.26M,0.59%
